gen,nevals,avg,std,min,max
0,8,0.8074081465601921,0.1020525151363854,0.5934504866600037,0.9408945441246033
1,4,0.840255580842495,0.1097705318090018,0.6469648480415344,0.9408945441246033
2,7,0.8189896196126938,0.05696452537292994,0.7492012977600098,0.9121405482292175
3,6,0.7475039958953857,0.12258851385511167,0.5055910348892212,0.9233226776123047
4,3,0.7951278015971184,0.08744091058531674,0.6174121499061584,0.9233226776123047
